Classification,lower_north_sp,lower_west_sp,lower_south_sp,lower_east_sp,shroud_north,shroud_west,shroud_south,shroud_east,shroud_north_pst1hr,shroud_west_pst1hr,shroud_south_pst1hr,shroud_east_pst1hr,lower_west_zone,lower_north_zone,lower_east_zone,lower_south_zone,OAT,OAT_pst1hr,pressure_station,wind_speed,relative_humidity,max_air_temp_pst1hr,min_air_temp_pst1hr
COLD,140,140.1264,140,140.2368,46.09055,47.0127,46.57079,48.12116,46.38869,47.0127,46.88175,48.12116,66.90801,66.72136,67.88345,67.67153,49.06948,49.06948,101.88,18,85,49.64,48.92
COLD,140,140.1264,140,140.2368,46.09055,47.0127,46.57079,48.12116,46.38869,47.0127,46.88175,48.12116,66.90801,66.72136,67.88345,67.67153,49.06948,49.06948,101.96,22,83,49.28,47.48
COLD,140,140.1264,140,140.3816,45.77917,46.68985,46.27217,47.49757,46.38869,47.0127,46.88175,48.12116,66.99559,66.78522,67.97512,67.72324,49.06948,49.06948,101.96,22,83,49.28,47.48
COLD,140,140.2441,140,140.3816,45.47105,46.68985,46.27217,47.49757,46.38869,47.0127,46.88175,48.12116,67.04965,66.83083,68.0249,67.74802,48.15469,49.06948,101.96,22,83,49.28,47.48
COLD,140,140.2441,140,140.3816,45.47105,46.68985,46.27217,47.49757,46.38869,47.0127,46.88175,48.12116,67.04965,66.83083,68.0249,67.74802,48.15469,49.06948,101.96,22,83,49.28,47.48
COLD,140,140.2441,140,140.5363,44.85583,46.68985,45.9532,47.49757,46.38869,47.0127,46.86975,48.12116,67.18819,66.9309,68.22929,67.92657,47.8353,49.06948,101.96,22,83,49.28,47.48
COLD,140,140.2441,140,140.5363,44.55651,46.68985,46.25837,47.17941,45.77917,46.68985,46.27217,47.49757,67.24991,66.99616,68.19933,68.05909,47.8353,49.06948,101.91,24,82,48.56,47.3
COLD,140,140.2441,140,140.5363,44.55651,47.65326,47.79814,48.56206,45.47105,46.68985,46.27217,47.49757,67.31025,67.03268,68.25233,68.11741,47.8353,48.15469,101.91,24,82,48.56,47.3
COLD,140,140.2441,140,140.5363,44.85677,48.00546,47.13969,48.59789,44.85583,46.68985,45.9532,47.49757,67.39597,67.13432,68.33042,68.21088,47.8353,48.15469,101.91,24,82,48.56,47.3
COLD,140,140.2441,140,140.5363,44.85677,48.00546,47.13969,48.59789,44.85583,46.68985,45.9532,47.49757,67.39597,67.13432,68.33042,68.21088,47.8353,48.15469,101.91,24,82,48.56,47.3
COLD,140,140.2441,140,140.5363,45.15938,48.00546,47.45732,48.59789,44.85583,46.68985,45.9532,47.49757,67.41199,67.1801,68.34754,68.23299,48.45487,47.8353,101.91,24,82,48.56,47.3
COLD,140,140.2441,140,140.3828,45.47112,48.60708,47.76298,49.22235,44.55651,46.68985,46.25837,47.49757,67.45037,67.24144,68.37104,68.27722,48.45487,47.8353,101.93,22,78,49.28,48.02
COLD,140,140.2441,140,140.3828,45.7807,48.90743,48.1148,49.22235,44.55651,48.00546,47.7652,48.90564,67.60821,67.39157,68.51849,68.35784,48.76513,47.8353,101.93,22,78,49.28,48.02
COLD,140,140.2441,140,140.3828,46.08125,49.21072,48.41967,49.22235,44.85677,48.00546,47.13969,48.59789,67.61434,67.3978,68.58555,68.38886,48.76513,47.8353,101.93,22,78,49.28,48.02
COLD,140,140.2441,140,140.3828,46.08125,49.21072,48.41967,49.22235,44.85677,48.00546,47.13969,48.59789,67.61434,67.3978,68.58555,68.38886,48.76513,47.8353,101.93,22,78,49.28,48.02
COLD,140,140.2441,140,140.3828,46.38849,49.54618,49.0377,49.52816,45.47112,48.60708,47.76298,49.22235,67.68465,67.46775,68.70879,68.47465,48.76513,48.45487,101.93,18,75,50.72,49.28
