Classification,upper_north_sp,upper_west_sp,upper_south_sp,upper_east_sp,shroud_north,shroud_west,shroud_south,shroud_east,shroud_north_pst1hr,shroud_west_pst1hr,shroud_south_pst1hr,shroud_east_pst1hr,upper_west_zone,upper_north_zone,upper_east_zone,upper_south_zone,OAT,OAT_pst1hr,pressure_station,wind_speed,relative_humidity,max_air_temp_pst1hr,min_air_temp_pst1hr
HOT,140.1165,140.0561,140.1264,140.0663,46.38869,47.0127,46.88175,48.12116,46.69877,47.0127,47.17957,48.12116,68.13496,66.80718,65.74525,68.40237,49.06948,49.36863,101.76,24,87,49.82,49.28
HOT,140.1165,140.0561,140.1264,140.0663,46.38869,47.0127,46.88175,48.12116,46.69877,47.0127,46.88175,48.12116,68.22446,66.82447,65.89545,68.44561,49.06948,49.06948,101.88,18,85,49.64,48.92
HOT,140.1165,140.0561,140.1264,140.0663,46.38869,47.0127,46.88175,48.12116,46.69877,47.0127,46.88175,48.12116,68.22446,66.82447,65.89545,68.44561,49.06948,49.06948,101.88,18,85,49.64,48.92
HOT,140.2249,140,140.2441,140.0663,45.47105,46.68985,46.27217,47.49757,46.38869,47.0127,46.88175,48.12116,68.4476,67.08514,66.12095,68.62965,48.15469,49.06948,101.96,22,83,49.28,47.48
HOT,140.2249,140.0118,140.2441,140.0663,45.15886,46.68985,46.27217,47.49757,46.38869,47.0127,46.88175,48.12116,68.4476,67.09379,66.12384,68.63074,48.15469,49.06948,101.96,22,83,49.28,47.48
HOT,140.2249,140.1683,140.2441,140.0663,45.15938,48.00546,47.45732,48.59789,44.85583,46.68985,45.9532,47.49757,69.25101,67.5183,66.21816,69.11922,48.45487,47.8353,101.91,24,82,48.56,47.3
HOT,140.2249,140.1718,140.2441,140.0663,45.47112,48.60708,47.76298,49.22235,44.55651,46.68985,46.25837,47.49757,69.25101,67.52911,66.28426,69.14516,48.45487,47.8353,101.93,22,78,49.28,48.02
HOT,140.2249,140.0585,140.2441,140.0663,45.7807,48.90743,48.1148,49.22235,44.55651,46.68985,46.25837,47.17941,69.27695,67.6048,66.33938,69.17913,48.45487,47.8353,101.93,22,78,49.28,48.02
HOT,140.2249,140.0585,140.2441,140.0663,46.08125,49.21072,48.41967,49.22235,44.85677,48.00546,47.13969,48.59789,69.41347,67.70911,66.29578,69.27341,48.76513,47.8353,101.93,22,78,49.28,48.02
HOT,140.1107,135.3623,140.1202,140.0663,46.38849,49.84663,49.33744,49.84219,45.7807,48.90743,48.1148,49.22235,69.41347,67.76749,66.49753,69.29288,48.76513,48.45487,101.93,18,75,50.72,49.28
HOT,140.1107,135.3623,140.1202,140.0663,46.69289,49.84663,49.63938,50.14126,45.7807,48.90743,48.1148,49.22235,69.46249,67.76749,66.86662,69.28207,49.40731,48.76513,101.93,18,75,50.72,49.28
HOT,140.1107,135.3623,140.1202,140.0663,46.69289,49.84663,49.63938,50.14126,45.7807,48.90743,48.1148,49.22235,69.46249,67.76749,66.86662,69.28207,49.40731,48.76513,101.93,18,75,50.72,49.28
HOT,140.1107,135.3404,140.1202,140.0663,47.00262,50.44915,49.93853,50.44225,45.7807,48.90743,48.1148,49.22235,69.48555,67.79668,66.89257,69.21719,49.40731,48.76513,101.93,18,75,50.72,49.28
HOT,140.1107,135.3404,140.1202,140.0663,47.00262,51.05851,50.55367,51.06461,46.08125,49.21072,48.41967,49.22235,69.50648,67.83237,67.23737,69.38455,49.40731,48.76513,101.93,18,75,50.72,49.28
HOT,140.1107,135.3404,140.1202,140.0663,47.00262,51.05851,50.55367,51.06461,46.08125,49.21072,48.41967,49.22235,69.50648,67.83237,67.23737,69.38455,49.40731,48.76513,101.93,18,75,50.72,49.28
HOT,140.1107,135.3404,140.1202,140.0663,47.00262,51.05851,50.55367,51.06461,46.08125,49.21072,48.41967,49.22235,69.50648,67.83237,67.23737,69.38455,49.40731,48.76513,101.93,18,75,50.72,49.28
HOT,140,127.3297,140,140.0663,48.51587,52.11412,51.40354,52.02075,47.90376,51.97834,51.18497,51.68739,69.86567,68.2181,66.97659,69.58408,50.92107,50.01318,101.81,24,74,51.98,51.44
HOT,140,119.1835,140,140.0663,48.81801,52.11412,51.40354,51.67469,48.21535,52.73248,52.02631,52.7427,69.9118,68.29403,67.60537,69.7113,50.92107,50.61427,101.81,24,74,51.98,51.44
HOT,140,119.5626,140,140.0663,48.20443,49.94153,48.96219,50.09183,49.11595,51.49133,51.10223,51.36912,69.83969,68.43307,67.34351,69.70763,50.61248,50.92107,101.76,18,93,51.98,50.36
HOT,140,140,140,140,50.50328,51.05217,51.10973,51.49348,51.11865,51.35228,51.74728,52.44496,68.33952,66.96081,65.89204,67.74082,51.94373,52.2468,100.81,28,95,53.42,51.98
HOT,140,140,140,140,49.57443,50.4468,50.50348,50.85178,50.50328,51.05217,51.10973,51.49348,68.81546,67.27726,66.19537,68.00448,51.0186,51.94373,100.81,28,95,53.42,51.98
HOT,140,140,140,140,49.57443,50.74709,50.81504,51.16623,50.50328,50.75397,50.81267,51.18311,68.89336,67.46499,66.30515,68.16357,51.0186,51.94373,100.79,26,95,53.42,51.98
HOT,140,140,140,140,49.87538,51.05119,51.12084,51.16623,50.18804,50.4468,50.50348,50.85178,68.93665,67.4931,66.27343,68.31369,51.6297,51.0186,100.79,26,95,53.42,51.98
HOT,140,126.831,140,140,51.112,52.90656,52.65469,53.07862,50.18672,51.67272,51.42505,51.81741,69.27311,68.11959,67.10401,68.67441,52.53234,51.6297,100.76,24,95,54.68,53.42
HOT,140,119.2471,140,140,52.02542,54.44261,53.58255,54.0075,51.41776,53.20451,52.65469,53.39671,69.6428,68.59524,67.5995,69.13374,53.45108,52.83575,100.67,30,95,55.4,54.5
