Classification,unorth,uwest,usouth,ueast,Shroud North,Shroud West,Shroud South,Shroud East,Lag Shroud North,Lag Shroud West,Lag Shroud South,LagShroud East,uWEST zone,uNORTH zone,uEAST zone,uSOUTH zone,OAT,Lagging OAT,pressure_station,wind_speed,relative_humidity,max_air_temp_pst1hr,min_air_temp_pst1hr
COLD,140.1165,140.0561,140.1264,140.0663,0.963997751,0.976965227,0.974243971,1,0.970441486,0.976965227,0.980432932,1,68.135,66.807,65.745,68.402,49.06948,49.36863,101.76,24,87,49.82,49.28
COLD,140.1165,140.0561,140.1264,140.0663,0.963997751,0.976965227,0.974243971,1,0.970441486,0.976965227,0.974243971,1,68.22446,66.82447,65.89545,68.44561,49.06948,49.06948,101.88,18,85,49.64,48.92
COLD,140.1165,140.0561,140.1264,140.0663,0.963997751,0.976965227,0.974243971,1,0.970441486,0.976965227,0.974243971,1,68.22446,66.82447,65.89545,68.44561,49.06948,49.06948,101.88,18,85,49.64,48.92
COLD,140.1165,140.0561,140.1264,140.0663,0.963997751,0.976965227,0.9739946,1,0.970441486,0.976965227,0.974243971,1,68.31425,66.90812,65.98499,68.52789,49.06948,49.06948,101.88,18,85,49.64,48.92
COLD,140.1165,140.0561,140.1264,140.0663,0.957802139,0.976965227,0.967781949,1,0.963997751,0.976965227,0.974243971,1,68.31425,66.92542,66.03113,68.46085,49.06948,49.06948,101.88,18,85,49.64,48.92
COLD,140.1165,140.0561,140.1264,140.0663,0.957802139,0.976965227,0.967781949,1,0.963997751,0.976965227,0.974243971,1,68.31425,66.92542,66.03113,68.46085,49.06948,49.06948,101.96,22,83,49.28,47.48
COLD,140.1165,140.0583,140.1264,140.0663,0.963821307,0.982994498,0.974200785,1,0.963997751,0.976965227,0.974243971,1,68.4476,67.01893,66.06329,68.56262,49.06948,49.06948,101.96,22,83,49.28,47.48
COLD,140.2249,140,140.2441,140.0663,0.957334238,0.982994498,0.974200785,1,0.963997751,0.976965227,0.974243971,1,68.4476,67.08514,66.12095,68.62965,48.15469,49.06948,101.96,22,83,49.28,47.48
COLD,140.2249,140,140.2441,140.0663,0.957334238,0.982994498,0.974200785,1,0.963997751,0.976965227,0.974243971,1,68.4476,67.08514,66.12095,68.62965,48.15469,49.06948,101.96,22,83,49.28,47.48
COLD,140.2249,140,140.2441,140.0663,0.957334238,0.982994498,0.974200785,1,0.963997751,0.976965227,0.974243971,1,68.4476,67.08514,66.12095,68.62965,48.15469,49.06948,101.96,22,83,49.28,47.48
